ID;NAME;DESCRIPTION;PARENTCODE;ORDER
TOTAL;Mensual;(TOTAL) Mensual;;0
202410;2024-Octubre;(202410) 2024-Octubre;;202410
202411;2024-Noviembre;(202411) 2024-Noviembre;;202411
202412;2024-Diciembre;(202412) 2024-Diciembre;;202412
202301;2023-Enero;(202301) 2023-Enero;;202301
202302;2023-Febrero;(202302) 2023-Febrero;;202302
202303;2023-Marzo;(202303) 2023-Marzo;;202303
202304;2023-Abril;(202304) 2023-Abril;;202304
202305;2023-Mayo;(202305) 2023-Mayo;;202305
202306;2023-Junio;(202306) 2023-Junio;;202306
202307;2023-Julio;(202307) 2023-Julio;;202307
202308;2023-Agosto;(202308) 2023-Agosto;;202308
202309;2023-Septiembre;(202309) 2023-Septiembre;;202309
202310;2023-Octubre;(202310) 2023-Octubre;;202310
202311;2023-Noviembre;(202311) 2023-Noviembre;;202311
202312;2023-Diciembre;(202312) 2023-Diciembre;;202312
202201;2022-Enero;(202201) 2022-Enero;;202201
202202;2022-Febrero;(202202) 2022-Febrero;;202202
202203;2022-Marzo;(202203) 2022-Marzo;;202203
202204;2022-Abril;(202204) 2022-Abril;;202204
202205;2022-Mayo;(202205) 2022-Mayo;;202205
202206;2022-Junio;(202206) 2022-Junio;;202206
202207;2022-Julio;(202207) 2022-Julio;;202207
202208;2022-Agosto;(202208) 2022-Agosto;;202208
202209;2022-Septiembre;(202209) 2022-Septiembre;;202209
202210;2022-Octubre;(202210) 2022-Octubre;;202210
202211;2022-Noviembre;(202211) 2022-Noviembre;;202211
202212;2022-Diciembre;(202212) 2022-Diciembre;;202212
202101;2021-Enero;(202101) 2021-Enero;;202101
202102;2021-Febrero;(202102) 2021-Febrero;;202102
202103;2021-Marzo;(202103) 2021-Marzo;;202103
202104;2021-Abril;(202104) 2021-Abril;;202104
202105;2021-Mayo;(202105) 2021-Mayo;;202105
202106;2021-Junio;(202106) 2021-Junio;;202106
202107;2021-Julio;(202107) 2021-Julio;;202107
202108;2021-Agosto;(202108) 2021-Agosto;;202108
202109;2021-Septiembre;(202109) 2021-Septiembre;;202109
202110;2021-Octubre;(202110) 2021-Octubre;;202110
202111;2021-Noviembre;(202111) 2021-Noviembre;;202111
202112;2021-Diciembre;(202112) 2021-Diciembre;;202112
202001;2020-Enero;(202001) 2020-Enero;;202001
202002;2020-Febrero;(202002) 2020-Febrero;;202002
202003;2020-Marzo;(202003) 2020-Marzo;;202003
202004;2020-Abril;(202004) 2020-Abril;;202004
202005;2020-Mayo;(202005) 2020-Mayo;;202005
202006;2020-Junio;(202006) 2020-Junio;;202006
202007;2020-Julio;(202007) 2020-Julio;;202007
202008;2020-Agosto;(202008) 2020-Agosto;;202008
202009;2020-Septiembre;(202009) 2020-Septiembre;;202009
202010;2020-Octubre;(202010) 2020-Octubre;;202010
202011;2020-Noviembre;(202011) 2020-Noviembre;;202011
202012;2020-Diciembre;(202012) 2020-Diciembre;;202012
201901;2019-Enero;(201901) 2019-Enero;;201901
201902;2019-Febrero;(201902) 2019-Febrero;;201902
201903;2019-Marzo;(201903) 2019-Marzo;;201903
201904;2019-Abril;(201904) 2019-Abril;;201904
201905;2019-Mayo;(201905) 2019-Mayo;;201905
201906;2019-Junio;(201906) 2019-Junio;;201906
