TEMPORAL;TERRITORIO;INSCRIPCION;SEXO;LUGARNACIMIEN;INDICATOR;OBS_VALUE;FREQ
2017;11;;01;C02;ANDALUCES;110.0;A
2017;11;;01;66;ANDALUCES;461.0;A
2017;11;;01;00;ANDALUCES;1188.0;A
2017;11;;06;04;ANDALUCES;1.0;A
2017;11;;06;11;ANDALUCES;578.0;A
2017;11;;06;14;ANDALUCES;5.0;A
2017;11;;06;18;ANDALUCES;3.0;A
2017;11;;06;23;ANDALUCES;2.0;A
2017;11;;06;29;ANDALUCES;6.0;A
2017;11;;06;41;ANDALUCES;21.0;A
2017;11;;06;C01;ANDALUCES;616.0;A
2017;11;;06;C02;ANDALUCES;76.0;A
2017;11;;06;66;ANDALUCES;455.0;A
2017;11;;06;00;ANDALUCES;1147.0;A
2017;14;;00;04;ANDALUCES;2.0;A
2017;14;;00;11;ANDALUCES;8.0;A
2017;14;;00;14;ANDALUCES;604.0;A
2017;14;;00;18;ANDALUCES;2.0;A
2017;14;;00;21;ANDALUCES;2.0;A
2017;14;;00;23;ANDALUCES;9.0;A
2017;14;;00;29;ANDALUCES;2.0;A
2017;14;;00;41;ANDALUCES;10.0;A
2017;14;;00;C01;ANDALUCES;639.0;A
2017;14;;00;C02;ANDALUCES;63.0;A
2017;14;;00;66;ANDALUCES;574.0;A
2017;14;;00;00;ANDALUCES;1276.0;A
2017;14;;01;04;ANDALUCES;1.0;A
2017;14;;01;11;ANDALUCES;5.0;A
2017;14;;01;14;ANDALUCES;305.0;A
2017;14;;01;18;ANDALUCES;2.0;A
2017;14;;01;21;ANDALUCES;2.0;A
2017;14;;01;23;ANDALUCES;6.0;A
2017;14;;01;41;ANDALUCES;5.0;A
2017;14;;01;C01;ANDALUCES;326.0;A
2017;14;;01;C02;ANDALUCES;25.0;A
2017;14;;01;66;ANDALUCES;283.0;A
2017;14;;01;00;ANDALUCES;634.0;A
2017;14;;06;04;ANDALUCES;1.0;A
2017;14;;06;11;ANDALUCES;3.0;A
2017;14;;06;14;ANDALUCES;299.0;A
2017;14;;06;23;ANDALUCES;3.0;A
2017;14;;06;29;ANDALUCES;2.0;A
2017;14;;06;41;ANDALUCES;5.0;A
2017;14;;06;C01;ANDALUCES;313.0;A
2017;14;;06;C02;ANDALUCES;38.0;A
2017;14;;06;66;ANDALUCES;291.0;A
2017;14;;06;00;ANDALUCES;642.0;A
2017;18;;00;04;ANDALUCES;8.0;A
2017;18;;00;11;ANDALUCES;12.0;A
2017;18;;00;14;ANDALUCES;15.0;A
2017;18;;00;18;ANDALUCES;911.0;A
2017;18;;00;21;ANDALUCES;5.0;A
2017;18;;00;23;ANDALUCES;26.0;A
2017;18;;00;29;ANDALUCES;20.0;A
2017;18;;00;41;ANDALUCES;6.0;A
2017;18;;00;C01;ANDALUCES;1003.0;A
2017;18;;00;C02;ANDALUCES;161.0;A
2017;18;;00;66;ANDALUCES;1903.0;A
2017;18;;00;00;ANDALUCES;3067.0;A
2017;18;;01;04;ANDALUCES;5.0;A
2017;18;;01;11;ANDALUCES;8.0;A
2017;18;;01;14;ANDALUCES;10.0;A
2017;18;;01;18;ANDALUCES;453.0;A
2017;18;;01;21;ANDALUCES;2.0;A
2017;18;;01;23;ANDALUCES;12.0;A
2017;18;;01;29;ANDALUCES;5.0;A
2017;18;;01;41;ANDALUCES;2.0;A
2017;18;;01;C01;ANDALUCES;497.0;A
2017;18;;01;C02;ANDALUCES;94.0;A
2017;18;;01;66;ANDALUCES;905.0;A
2017;18;;01;00;ANDALUCES;1496.0;A
2017;18;;06;04;ANDALUCES;3.0;A
2017;18;;06;11;ANDALUCES;4.0;A
2017;18;;06;14;ANDALUCES;5.0;A
2017;18;;06;18;ANDALUCES;458.0;A
2017;18;;06;21;ANDALUCES;3.0;A
2017;18;;06;23;ANDALUCES;14.0;A
2017;18;;06;29;ANDALUCES;15.0;A
2017;18;;06;41;ANDALUCES;4.0;A
2017;18;;06;C01;ANDALUCES;506.0;A
2017;18;;06;C02;ANDALUCES;67.0;A
2017;18;;06;66;ANDALUCES;998.0;A
2017;18;;06;00;ANDALUCES;1571.0;A
2017;21;;00;11;ANDALUCES;1.0;A
2017;21;;00;14;ANDALUCES;5.0;A
2017;21;;00;18;ANDALUCES;2.0;A
2017;21;;00;21;ANDALUCES;261.0;A
2017;21;;00;23;ANDALUCES;1.0;A
2017;21;;00;29;ANDALUCES;5.0;A
2017;21;;00;41;ANDALUCES;21.0;A
2017;21;;00;C01;ANDALUCES;296.0;A
2017;21;;00;C02;ANDALUCES;45.0;A
2017;21;;00;66;ANDALUCES;330.0;A
2017;21;;00;00;ANDALUCES;671.0;A
2017;21;;01;11;ANDALUCES;1.0;A
2017;21;;01;14;ANDALUCES;3.0;A
2017;21;;01;18;ANDALUCES;2.0;A
2017;21;;01;21;ANDALUCES;126.0;A
2017;21;;01;29;ANDALUCES;2.0;A
2017;21;;01;41;ANDALUCES;11.0;A
2017;21;;01;C01;ANDALUCES;145.0;A
2017;21;;01;C02;ANDALUCES;20.0;A
2017;21;;01;66;ANDALUCES;160.0;A
2017;21;;01;00;ANDALUCES;325.0;A
2017;21;;06;14;ANDALUCES;2.0;A
2017;21;;06;21;ANDALUCES;135.0;A
2017;21;;06;23;ANDALUCES;1.0;A
2017;21;;06;29;ANDALUCES;3.0;A
2017;21;;06;41;ANDALUCES;10.0;A
2017;21;;06;C01;ANDALUCES;151.0;A
2017;21;;06;C02;ANDALUCES;25.0;A
2017;21;;06;66;ANDALUCES;170.0;A
2017;21;;06;00;ANDALUCES;346.0;A
2017;23;;00;04;ANDALUCES;2.0;A
2017;23;;00;11;ANDALUCES;2.0;A
2017;23;;00;14;ANDALUCES;3.0;A
2017;23;;00;18;ANDALUCES;5.0;A
2017;23;;00;23;ANDALUCES;387.0;A
2017;23;;00;29;ANDALUCES;1.0;A
2017;23;;00;41;ANDALUCES;2.0;A
2017;23;;00;C01;ANDALUCES;402.0;A
2017;23;;00;C02;ANDALUCES;53.0;A
2017;23;;00;66;ANDALUCES;486.0;A
2017;23;;00;00;ANDALUCES;941.0;A
2017;23;;01;04;ANDALUCES;1.0;A
2017;23;;01;11;ANDALUCES;2.0;A
2017;23;;01;14;ANDALUCES;1.0;A
2017;23;;01;18;ANDALUCES;3.0;A
2017;23;;01;23;ANDALUCES;212.0;A
2017;23;;01;41;ANDALUCES;2.0;A
2017;23;;01;C01;ANDALUCES;221.0;A
2017;23;;01;C02;ANDALUCES;28.0;A
2017;23;;01;66;ANDALUCES;260.0;A
2017;23;;01;00;ANDALUCES;509.0;A
2017;23;;06;04;ANDALUCES;1.0;A
2017;23;;06;14;ANDALUCES;2.0;A
